Site	Parameter	Date (LST)	Value	Unit	QCCode	OPCode
HDSN	WD	2019/08/30 02:17	92.65793	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:18	94.67639	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:19	92.23444	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:20	88.60122	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:21	92.92829	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:22	90.28423	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:23	85.87346	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:24	71.37131	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:25	84.28276	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:26	75.78426	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:27	79.73263	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:28	96.15598	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:29	117.82845	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:30	103.44615	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:31	109.96146	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:32	104.44418	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:33	111.06672	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:34	118.72565	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:35	109.8428	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:36	111.72502	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:37	107.36274	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:38	99.88666	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:39	102.81156	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:40	92.34766	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:41	95.31338	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:42	97.55844	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:43	95.54365	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:44	100.03299	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:45	100.06357	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:46	113.06705	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:47	131.54768	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:48	129.11773	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:49	120.70858	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:50	99.66437	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:51	106.938	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:52	105.79152	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:53	96.33811	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:54	91.72114	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:55	98.09338	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:56	94.01822	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:57	108.16774	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:58	105.48867	COMPASS DEG	0	1
HDSN	WD	2019/08/30 02:59	94.6608	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:00	91.36379	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:01	104.79905	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:02	99.07257	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:03	96.8291	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:04	94.30963	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:05	96.97896	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:06	106.92345	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:07	94.53127	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:08	93.42032	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:09	99.51644	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:10	89.86906	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:11	87.85123	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:12	85.91064	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:13	88.4841	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:14	88.84315	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:15	93.66504	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:16	90.86131	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:17	100.80557	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:18	101.21247	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:19	100.27669	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:20	90.80337	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:21	101.46556	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:22	97.15289	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:23	95.44772	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:24	96.93367	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:25	92.65843	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:26	88.80728	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:27	88.39717	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:28	70.12366	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:29	109.74535	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:30	103.27913	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:31	88.18731	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:32	92.85413	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:33	95.5898	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:34	102.9948	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:35	91.73352	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:36	95.56394	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:37	97.27007	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:38	97.95282	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:39	97.87354	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:40	105.04883	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:41	110.04536	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:42	109.54406	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:43	105.47123	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:44	109.0703	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:45	91.7545	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:46	88.98845	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:47	86.73446	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:48	95.86731	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:49	91.50401	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:50	98.87105	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:51	91.76496	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:52	101.44707	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:53	95.43381	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:54	99.07871	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:55	91.20646	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:56	93.2649	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:57	98.81647	COMPASS DEG	0	1
HDSN	WD	2019/08/30 03:58	51.14868	COMPASS DEG	0	1
